"GENENAME","ENSEMBL","ENSEMBL.1","PC1","PC2","PC3","PC4","PC5"
"MTPAP","ENSECAG00000000001","ENSECAG00000000001",0.00212499934581483,-0.000376100453831701,-0.00508367878329275,-0.000339447147135687,-0.00215819114436176
"R3HDM4","ENSECAG00000000003","ENSECAG00000000003",0.00112676191425365,-0.00481646407660823,0.00052247739717479,0.00148660719421624,-0.00190663859036379
"RNF170","ENSECAG00000000004","ENSECAG00000000004",0.00070056662420627,0.00487406700329648,-2.9238702799578e-06,0.000262538399221434,-0.000943564047227257
"TMEM70","ENSECAG00000000007","ENSECAG00000000007",0.00778444052860305,-2.65224000285039e-06,0.00474888206704788,-0.00302122205223884,-0.00411894253333581
"RPLP2","ENSECAG00000000008","ENSECAG00000000008",-0.00232905812014248,-0.00521693357266647,0.0172505887175938,-0.0110220680924092,-0.0025967784424033
"LRRC58","ENSECAG00000000010","ENSECAG00000000010",-0.00526161150378139,0.00301011841268854,-0.0014556161157074,0.00459666714105491,0.00710753307990819
"ADGRA2","ENSECAG00000000011","ENSECAG00000000011",0.00120462195754675,-0.00487579606084907,0.00295002408935764,0.0113591880829274,0.00184901520324248
"PRKX","ENSECAG00000000012","ENSECAG00000000012",-0.00264729415656343,0.0072385585726134,0.00216620435533399,0.000888396731127379,-0.00607474929757746
"GAS6","ENSECAG00000000014","ENSECAG00000000014",-0.00594534349741322,-0.00494783024717839,0.00536811430574438,-0.00881913889462482,0.00127363391245734
"KIAA1217","ENSECAG00000000015","ENSECAG00000000015",0.000676741930440897,-0.00344524102592186,-0.00523309311372037,0.00166582259730453,0.00229701786944981
"FAM149B1","ENSECAG00000000016","ENSECAG00000000016",-0.00235587365346284,-0.000146115904266702,0.00269704922189474,-0.00538190272108708,-0.00236199342184568
"CHCHD6","ENSECAG00000000017","ENSECAG00000000017",-0.00182097955115189,-0.00240918024076007,0.00175554546564415,-0.00409693557558459,-0.00220199924207625
"KANSL1L","ENSECAG00000000018","ENSECAG00000000018",0.000562070165738618,-0.000118940698024053,-0.00484921139574437,0.00587204946414874,-0.00217896341048608
"MRPL52","ENSECAG00000000019","ENSECAG00000000019",0.00478920502338344,0.00710600335268699,-0.000850005973481115,-0.00391470742903062,-0.00563650193952438
"THAP1","ENSECAG00000000020","ENSECAG00000000020",0.00194671695638735,0.000434647612582665,0.00511042510997746,0.00153116192524877,0.00478712119835917
"PLXNA1","ENSECAG00000000022","ENSECAG00000000022",-0.00145509719957409,-0.00200214681274096,-0.000637621119892404,-0.00180559432395716,0.0064332432997004
"CHRNA6","ENSECAG00000000024","ENSECAG00000000024",0.0305959677733023,0.0148305094103736,-0.0132992093729181,0.0153899912553503,-0.00615596184653109
"FGD1","ENSECAG00000000025","ENSECAG00000000025",0.0032791590654307,0.00649312105640704,5.09018605928254e-05,-0.00249194988998027,0.00488459500533621
"XG","ENSECAG00000000026","ENSECAG00000000026",0.00290126510834587,-0.00268843070341697,-0.00610769083569017,-0.00330346450095627,0.00610658640514475
"MARCHF5","ENSECAG00000000029","ENSECAG00000000029",-0.00165426229000205,0.00398786758677132,0.00163325059211787,-0.00147866791128568,-0.00436324935063342
"FRA10AC1","ENSECAG00000000030","ENSECAG00000000030",0.00195487541775425,0.00275453559301821,0.000677475214652702,0.0018845883475133,-0.00209780652588707
"CAMK2G","ENSECAG00000000031","ENSECAG00000000031",-0.000623275763894489,0.00454935741632934,-0.0100388536460471,0.00398360563480782,4.89071998760186e-05
"GNL3L","ENSECAG00000000035","ENSECAG00000000035",-0.00124980653798218,0.000706889628120108,0.000345696010770411,-0.000356439108246877,0.00431076107030272
"MAGED2","ENSECAG00000000036","ENSECAG00000000036",-0.00488202748185607,0.00107483557634864,0.000991222632764327,0.00565503364689969,-0.000459258254325355
"HINT2","ENSECAG00000000037","ENSECAG00000000037",0.000710573943384752,-0.00155666377761323,0.00163487824551292,-0.0072428191821505,-0.00188103388033082
"PFKFB1","ENSECAG00000000039","ENSECAG00000000039",0.0169999469317864,-0.0424086029370061,-0.0172631879617971,0.0144239224105448,0.0106081919506267
"FAM217A","ENSECAG00000000041","ENSECAG00000000041",0.000960481205282963,0.00939988989572442,-0.019495268347504,-0.0104088742065097,0.018011027792241
"ZBED6","ENSECAG00000000042","ENSECAG00000000042",0.00232795856872349,0.000252870701862059,-0.00720814233203169,0.00779165394280422,-0.00213015063471438
"FAM13C","ENSECAG00000000046","ENSECAG00000000046",0.00558182144921256,0.00340747287501663,-0.0142965453107098,0.0183497313068969,-0.011268274777284
"UBA2","ENSECAG00000000048","ENSECAG00000000048",-4.5443154781456e-05,-0.00549960773398134,-0.00558994513012656,0.0017064681154158,-0.00308661219969183
"WASF3","ENSECAG00000000050","ENSECAG00000000050",-0.00634066779668214,-0.00712218228575419,0.00496705954080599,0.0073029443864115,-0.00372369365218575
"AIMP2","ENSECAG00000000053","ENSECAG00000000053",0.00259489583953055,-0.00550228686753681,0.00659316961208767,-0.00528883686829408,0.00244710891010119
"TRMT5","ENSECAG00000000057","ENSECAG00000000057",-0.00482413320889984,-0.000513441046174748,0.00418702622657229,-0.00766657681470815,0.00369911320456213
"CIAPIN1","ENSECAG00000000060","ENSECAG00000000060",-0.00211924891625716,0.00373207319790607,0.000408734823522362,0.000852968045315335,-0.00978436858549999
"PTCHD3","ENSECAG00000000063","ENSECAG00000000063",0.000858208968488109,-0.0265993824517183,-0.00855091879744524,0.0111635019757967,-0.00743975020080043
"ELOC","ENSECAG00000000064","ENSECAG00000000064",0.00268627279983698,0.00317493290697363,0.0047477006825154,-0.00248309130798795,-0.00418336187317918
"ADGRA1","ENSECAG00000000065","ENSECAG00000000065",-0.00480742084885888,0.0376982006299415,0.045078174219707,0.00841540413145725,-0.0100058554692642
"NAP1L1","ENSECAG00000000066","ENSECAG00000000066",0.000749605147114424,-0.000625090712411596,0.00146295625927686,0.00217267588338424,-0.00501209842957629
"MAP7D2","ENSECAG00000000072","ENSECAG00000000072",0.00035250711679331,0.0143830455836341,0.00477154901043739,0.00157153140775993,0.0096479731637251
"METRNL","ENSECAG00000000074","ENSECAG00000000074",0.000321040821631015,-0.00464768647116997,0.00288845554780185,-0.00821714514955741,-0.00558871393838704
"CPEB3","ENSECAG00000000077","ENSECAG00000000077",0.00161941115518388,0.000934761070280038,-0.00146878229812612,0.000862853420607773,0.00610970724968502
"EXOC2","ENSECAG00000000078","ENSECAG00000000078",0.00130506847748763,0.000373673610577034,-0.00174036971944335,0.000870032393086107,-0.00251852740695921
"PRXL2C","ENSECAG00000000080","ENSECAG00000000080",0.000374238675929422,-0.00184744615278953,0.00444427141572195,0.000174699287887673,0.000817992174188772
"PTER","ENSECAG00000000081","ENSECAG00000000081",0.00152526237773785,-0.00405203909414553,0.00295684618324932,-0.00617657086460253,-0.00578894418271274
"ACBD3","ENSECAG00000000084","ENSECAG00000000084",-0.00318826834956094,0.00128249716859259,0.00430066279392164,-0.000375502091516558,-0.0031212345878799
"AGA","ENSECAG00000000085","ENSECAG00000000085",0.00749040721988366,0.00699487108246059,-0.00774140609526539,0.014436881398633,0.00089484014376146
"DUSP13B","ENSECAG00000000088","ENSECAG00000000088",0.00721655970532232,0.0100295384846131,0.0505890793112305,0.0253591111780236,-0.00247634389516193
