Gene	Condition	Region	Group	mean_logCPM
ATP2A1	LA_AF	LA	AF	1.0401499965527
ATP2A1	LA_Control	LA	Control	1.22252532666285
ATP2A1	LV_AF	LV	AF	1.5950470123102
ATP2A1	LV_Control	LV	Control	1.91711295703336
ATP2A1	RA_AF	RA	AF	1.13699470836968
ATP2A1	RA_Control	RA	Control	1.17002982744467
ATP2A1	RV_AF	RV	AF	1.80386317367894
ATP2A1	RV_Control	RV	Control	1.62837244011128
ATP2A2	LA_AF	LA	AF	11.6022631858655
ATP2A2	LA_Control	LA	Control	11.7071123232269
ATP2A2	LV_AF	LV	AF	10.9966014920662
ATP2A2	LV_Control	LV	Control	10.8708952394392
ATP2A2	RA_AF	RA	AF	11.0890868181697
ATP2A2	RA_Control	RA	Control	11.6904052314218
ATP2A2	RV_AF	RV	AF	11.2640528147744
ATP2A2	RV_Control	RV	Control	11.3693560403094
ATP2A3	LA_AF	LA	AF	3.26378619461263
ATP2A3	LA_Control	LA	Control	2.74367524512488
ATP2A3	LV_AF	LV	AF	3.28848516649451
ATP2A3	LV_Control	LV	Control	3.2291593685361
ATP2A3	RA_AF	RA	AF	2.9366379020754
ATP2A3	RA_Control	RA	Control	2.47288439369072
ATP2A3	RV_AF	RV	AF	3.32257025577539
ATP2A3	RV_Control	RV	Control	3.17790179728567
CACNA1A	LA_AF	LA	AF	1.05378188793058
CACNA1A	LA_Control	LA	Control	0.565418940403845
CACNA1A	LV_AF	LV	AF	0.965389571625273
CACNA1A	LV_Control	LV	Control	1.30442024949792
CACNA1A	RA_AF	RA	AF	1.4546292214566
CACNA1A	RA_Control	RA	Control	1.32724115867584
CACNA1A	RV_AF	RV	AF	0.931730675345671
CACNA1A	RV_Control	RV	Control	0.903894412176382
CACNA1C	LA_AF	LA	AF	5.32345356354844
CACNA1C	LA_Control	LA	Control	5.58477375292816
CACNA1C	LV_AF	LV	AF	5.53500028352005
CACNA1C	LV_Control	LV	Control	5.7362537684664
CACNA1C	RA_AF	RA	AF	5.13323483327225
CACNA1C	RA_Control	RA	Control	5.62980946779976
CACNA1C	RV_AF	RV	AF	5.79293488872239
CACNA1C	RV_Control	RV	Control	5.76304423571161
CACNA1G	LA_AF	LA	AF	4.70038408444838
CACNA1G	LA_Control	LA	Control	4.53820806274767
CACNA1G	LV_AF	LV	AF	2.47869743562411
CACNA1G	LV_Control	LV	Control	2.60953657813385
CACNA1G	RA_AF	RA	AF	4.06247982476527
CACNA1G	RA_Control	RA	Control	4.50219048878684
CACNA1G	RV_AF	RV	AF	2.58555609044089
CACNA1G	RV_Control	RV	Control	2.62936516660842
CACNA1H	LA_AF	LA	AF	2.70366342975886
CACNA1H	LA_Control	LA	Control	2.93720261804171
CACNA1H	LV_AF	LV	AF	3.19197456037539
CACNA1H	LV_Control	LV	Control	4.0569400387005
CACNA1H	RA_AF	RA	AF	1.93340706493479
CACNA1H	RA_Control	RA	Control	2.8958434925996
CACNA1H	RV_AF	RV	AF	3.20717901194703
CACNA1H	RV_Control	RV	Control	3.58258793782181
CACNA2D1	LA_AF	LA	AF	5.14834960197677
CACNA2D1	LA_Control	LA	Control	5.27559972268272
CACNA2D1	LV_AF	LV	AF	5.16271733463367
CACNA2D1	LV_Control	LV	Control	5.36638485093854
CACNA2D1	RA_AF	RA	AF	5.48316158696965
CACNA2D1	RA_Control	RA	Control	5.70323605795331
CACNA2D1	RV_AF	RV	AF	5.34681221489927
CACNA2D1	RV_Control	RV	Control	5.58463164010069
CACNA2D2	LA_AF	LA	AF	2.53714110591118
CACNA2D2	LA_Control	LA	Control	2.13221822828978
CACNA2D2	LV_AF	LV	AF	3.0911650041157
CACNA2D2	LV_Control	LV	Control	2.5979930119478
CACNA2D2	RA_AF	RA	AF	2.13108656235418
CACNA2D2	RA_Control	RA	Control	2.0904580562601
CACNA2D2	RV_AF	RV	AF	3.22657359877235
CACNA2D2	RV_Control	RV	Control	2.83572164358218
CACNA2D3	LA_AF	LA	AF	2.42738117180193
CACNA2D3	LA_Control	LA	Control	2.25038164793795
CACNA2D3	LV_AF	LV	AF	-0.580882125396047
CACNA2D3	LV_Control	LV	Control	-0.0436498801105075
CACNA2D3	RA_AF	RA	AF	2.42576082947003
CACNA2D3	RA_Control	RA	Control	2.39377684494185
CACNA2D3	RV_AF	RV	AF	-1.17740225774788
CACNA2D3	RV_Control	RV	Control	0.217118782358682
CACNB1	LA_AF	LA	AF	0.700100252494101
CACNB1	LA_Control	LA	Control	0.655479995952373
CACNB1	LV_AF	LV	AF	0.439509349450998
CACNB1	LV_Control	LV	Control	0.210014908472996
CACNB1	RA_AF	RA	AF	0.781725045233942
CACNB1	RA_Control	RA	Control	0.833292575394156
CACNB1	RV_AF	RV	AF	0.370072639465528
CACNB1	RV_Control	RV	Control	0.149264999959284
CACNB2	LA_AF	LA	AF	4.96716299197313
CACNB2	LA_Control	LA	Control	5.47885877635083
CACNB2	LV_AF	LV	AF	5.31482186471911
CACNB2	LV_Control	LV	Control	5.04074855116049
CACNB2	RA_AF	RA	AF	4.87030660357505
CACNB2	RA_Control	RA	Control	5.3853375372697
CACNB2	RV_AF	RV	AF	5.20977329883122
CACNB2	RV_Control	RV	Control	5.06904971273507
CACNB3	LA_AF	LA	AF	2.07008283792124
CACNB3	LA_Control	LA	Control	1.88670712091007
CACNB3	LV_AF	LV	AF	1.94231591704425
CACNB3	LV_Control	LV	Control	1.72395321003699
CACNB3	RA_AF	RA	AF	2.16982553392958
CACNB3	RA_Control	RA	Control	1.91070015122945
CACNB3	RV_AF	RV	AF	1.71966650099056
CACNB3	RV_Control	RV	Control	1.51252190156616
CASQ1	LA_AF	LA	AF	3.79145415811392
CASQ1	LA_Control	LA	Control	4.25912973137923
CASQ1	LV_AF	LV	AF	3.00785940279535
CASQ1	LV_Control	LV	Control	2.74881804754114
CASQ1	RA_AF	RA	AF	4.2755938562974
CASQ1	RA_Control	RA	Control	3.99231658795653
CASQ1	RV_AF	RV	AF	2.92547786923946
CASQ1	RV_Control	RV	Control	2.30388116868128
CASQ2	LA_AF	LA	AF	10.1003107487298
CASQ2	LA_Control	LA	Control	10.0724523567957
CASQ2	LV_AF	LV	AF	9.99684785791386
CASQ2	LV_Control	LV	Control	10.0292134721883
CASQ2	RA_AF	RA	AF	10.1708170647189
CASQ2	RA_Control	RA	Control	10.1265246565594
CASQ2	RV_AF	RV	AF	9.984919032151
CASQ2	RV_Control	RV	Control	10.0319278418133
GJA1	LA_AF	LA	AF	8.33825986300989
GJA1	LA_Control	LA	Control	8.50762330205881
GJA1	LV_AF	LV	AF	7.86738515346667
GJA1	LV_Control	LV	Control	7.60185594068511
GJA1	RA_AF	RA	AF	8.40644543073234
GJA1	RA_Control	RA	Control	8.58077733150784
