sampleID,HGNC_symbol,Control,Mutant,Log2FC,pvalue,"","",""
sample1,ERF,,,-0.89380441536808,7.71617642331687e-09,"","",""
sample1,OTUD1,,,-3.67775331610535,8.24795905539004e-09,"","",""
sample1,LSS,,,-1.31238225151354,1.46010951015933e-08,"","",""
sample1,LIN7C,,,-0.582802720848641,1.5331360931383e-08,"","",""
sample1,PLK2,,,-1.12076313057689,2.03151920054068e-08,"","",""
sample1,E2F6,,,-0.695052042190808,3.0542800140129e-08,"","",""
sample1,SRRT,,,-0.471166853275,3.87988124022322e-08,"","",""
sample1,PTBP1,,,-0.824850568489755,2.53939637989738e-07,"","",""
sample1,ATF3,,,-3.47161638688003,2.64688581930907e-07,"","",""
sample1,ATF4,,,-0.860232557921011,2.64406841042531e-07,"","",""
sample1,ZBTB21,,,-1.33154632908567,2.93272453696936e-07,"","",""
sample1,GCH1,,,-1.52502503190253,3.08224418042464e-07,"","",""
sample1,NEDD9,,,-1.70515211368717,3.64023080718611e-07,"","",""
sample1,IQCN,,,-1.33407875512271,4.46246344323022e-07,"","",""
sample1,SLC3A2,,,-0.884634610087883,4.81788842691088e-07,"","",""
sample1,KBTBD7,,,0.823558309798645,5.31698012131598e-07,"","",""
sample1,TPPP3,,,1.14056963589199,5.81581540038267e-07,"","",""
sample1,ZMYM3,,,0.69127053559949,6.99761761313381e-07,"","",""
sample1,VSNL1,,,2.26927549230391,5.30026570867491e-07,"","",""
sample1,ZNF174,,,0.799185335610459,7.75287781430972e-07,"","",""
sample1,TBC1D15,,,-0.666284075077061,8.95444289246083e-07,"","",""
sample1,DDIT3,,,-1.12881835155586,8.97985188519939e-07,"","",""
sample1,MGAT2,,,-0.480665649700723,9.50889523523592e-07,"","",""
sample1,CBX2,,,1.47391255964531,4.32366305815892e-07,"","",""
sample1,CIMAP1B,,,1.50300011414442,1.16196471570307e-06,"","",""
sample1,RRAGA,,,0.430100950409059,1.37458887619033e-06,"","",""
sample1,PIM1,,,-1.38201148734384,1.66316411690896e-06,"","",""
sample1,CCNK,,,-0.571088088422123,1.70708570676093e-06,"","",""
sample1,ARID5B,,,-1.55451283435699,1.73526162078298e-06,"","",""
sample1,BTAF1,,,-0.607677244512181,1.77475903075869e-06,"","",""
sample1,NR4A3,,,-4.97188909644942,1.55817535936329e-06,"","",""
sample1,SEMA6C,,,0.817037647331095,1.79004600366916e-06,"","",""
sample1,ST6GAL1,,,1.01508332238939,2.10698771916031e-06,"","",""
sample1,SLC20A1,,,-0.946975728998292,2.33271121065837e-06,"","",""
sample1,PIK3C2A,,,-0.744560870087779,2.37120699716367e-06,"","",""
sample1,RNF43,,,0.828684205230675,2.40581479535645e-06,"","",""
sample1,NOC4L,,,-0.718661735582457,2.48177591666765e-06,"","",""
sample1,CCNL1,,,-1.18599000409832,2.75239289039767e-06,"","",""
sample1,AAK1,,,0.89401623657822,3.03805355753083e-06,"","",""
sample1,SERTAD1,,,-0.999926072347843,3.11523116932504e-06,"","",""
sample1,FRS3,,,0.978261356112738,2.22314379811282e-06,"","",""
sample1,THBS1,,,-2.25402162058913,3.16381087207945e-06,"","",""
sample1,SSC5D,,,1.24485426077251,3.96753676200393e-06,"","",""
sample1,ADCY4,,,-1.19192816122289,4.17817709597238e-06,"","",""
sample1,EIF4A1,,,-0.575313993945821,4.38738019809106e-06,"","",""
sample1,LZTFL1,,,0.588332878494619,4.74906191158299e-06,"","",""
sample1,TPPP,,,1.14901145273556,4.61456832644571e-06,"","",""
sample1,PYGB,,,0.668087290683205,5.40240789445273e-06,"","",""
sample1,TXLNG,,,-0.846216431044003,5.846843242924e-06,"","",""
sample1,BRD2,,,-0.634992747462113,5.71302414453182e-06,"","",""
sample1,PROB1,,,0.723076639133843,5.81784109451584e-06,"","",""
sample1,INTS7,,,-0.64397030884018,6.13846067664878e-06,"","",""
sample1,DCBLD2,,,-0.931753992216884,6.11829903831959e-06,"","",""
sample1,GUCD1,,,-0.496958854851012,6.24668444684241e-06,"","",""
sample1,RHPN1,,,0.698985299405672,5.87200247179979e-06,"","",""
sample1,ELF1,,,-0.839180657740705,7.5192095398067e-06,"","",""
sample1,OSGIN1,,,-2.09566669823608,6.24426635953373e-06,"","",""
sample1,IFRD1,,,-1.40895807922136,7.50383669909632e-06,"","",""
sample1,YARS1,,,-0.535398901058293,8.92545307036848e-06,"","",""
sample1,LCLAT1,,,0.996256443990208,8.91301639255643e-06,"","",""
sample1,HNRNPDL,,,-0.366940421979536,9.21838369421329e-06,"","",""
sample1,SPATA6,,,1.15867427513238,6.89775868675836e-06,"","",""
sample1,ADGRG1,,,-0.776105562738321,9.40976150273112e-06,"","",""
sample1,BTG2,,,-2.63462856969026,1.01035839991583e-05,"","",""
sample1,IER5,,,-1.12449873329013,9.58901814959025e-06,"","",""
sample1,LDAF1,,,0.653296375129633,1.08258075880115e-05,"","",""
sample1,ZNF391,,,0.98339830392994,1.07745388548111e-05,"","",""
