sampleID,HGNC_symbol,Control,Mutant,Log2FC,pvalue,"","",""
sample2,OTUD1,,,-4.71262343872562,8.91998921346502e-12,"","",""
sample2,ATF3,,,-4.52342293288568,5.75941845068656e-11,"","",""
sample2,ARID5B,,,-2.18829616204148,1.1547442291777e-10,"","",""
sample2,NEDD9,,,-2.33411130536554,2.81276678366789e-10,"","",""
sample2,TRDN,,,-1.10216602015691,7.25318341095532e-10,"","",""
sample2,FAM78A,,,1.37675149277967,2.08526973105746e-09,"","",""
sample2,XIRP1,,,-1.76762761575009,3.41017309944006e-09,"","",""
sample2,IQCN,,,-1.58045036354911,8.59787584330548e-09,"","",""
sample2,JUN,,,-2.34910486044368,2.19920178770277e-08,"","",""
sample2,ZBTB21,,,-1.52807632062758,2.22256591919247e-08,"","",""
sample2,ANKRD23,,,-1.46464119906248,2.72002006566548e-08,"","",""
sample2,MOCS1,,,-0.961857492850397,4.68864024835701e-08,"","",""
sample2,BTG2,,,-3.22323413907419,5.33092411859035e-08,"","",""
sample2,IFRD1,,,-1.66907505401836,6.43921020201923e-08,"","",""
sample2,IER5,,,-1.44988905447325,6.48608382803664e-08,"","",""
sample2,E2F6,,,-0.71216655251204,7.612507377307e-08,"","",""
sample2,VSNL1,,,3.16260120320736,4.06107709680647e-08,"","",""
sample2,LMOD2,,,-1.15058561053844,9.94457581272802e-08,"","",""
sample2,C5H1orf21,,,1.04467198244707,1.01858039718009e-07,"","",""
sample2,THBS1,,,-2.64675372679615,1.08222780904959e-07,"","",""
sample2,PDE7A,,,-1.95946717066223,1.08127345006714e-07,"","",""
sample2,ABRA,,,-2.53500035874857,1.40283221593751e-07,"","",""
sample2,TBX5,,,0.906140835556448,1.46666447411504e-07,"","",""
sample2,HNMT,,,1.28793039202008,1.43776899054873e-07,"","",""
sample2,HBEGF,,,-2.44043292584863,1.67953428892868e-07,"","",""
sample2,BRD2,,,-0.885976039662292,2.1844502799204e-07,"","",""
sample2,HAO1,,,-1.76145545242369,2.23209012224853e-07,"","",""
sample2,CCN1,,,-2.13256786465105,3.0025004179699e-07,"","",""
sample2,AMD1,,,-1.03843650836654,3.93045115189895e-07,"","",""
sample2,REPIN1,,,0.705995055304259,4.42637004829301e-07,"","",""
sample2,DNAJB4,,,-1.27290469737719,5.00701732981154e-07,"","",""
sample2,KCNE3,,,1.84206454738901,2.74033436323132e-07,"","",""
sample2,NKX2-5,,,0.795265420263588,5.77593131979402e-07,"","",""
sample2,LGALS1,,,1.18351298060625,6.69205552706796e-07,"","",""
sample2,MAPK4,,,2.9360114020058,8.04851259920945e-07,"","",""
sample2,KLF4,,,-1.75524212827083,8.31264692602679e-07,"","",""
sample2,PHF13,,,1.15091957896518,9.79281482887265e-07,"","",""
sample2,PFKP,,,1.32087206390441,9.83117804415281e-07,"","",""
sample2,PLK2,,,-1.14747523700939,9.84978911983988e-07,"","",""
sample2,C26H21orf91,,,-2.13519973182628,1.07792503082426e-06,"","",""
sample2,KLF6,,,-1.01097976201886,1.16398595708072e-06,"","",""
sample2,PAQR7,,,1.00956160057327,1.23458029230117e-06,"","",""
sample2,MTCP1,,,0.719051871355149,1.3064359038834e-06,"","",""
sample2,IRS2,,,-1.7712368270481,1.24241734128758e-06,"","",""
sample2,FZD2,,,1.55650177349916,1.01929046821241e-06,"","",""
sample2,FAM136A,,,0.649471908241658,1.46194703794293e-06,"","",""
