SAMPLE NAME	HGNC ID	GENE NAME	PROCESS	LOG2FOLD	P-VALUE
sample1_user	AARS2	alanyl-tRNA synthetase 2, mitochondrial	Translation	-0.9	0.004	0 mutation(s)
sample1_user	BPHL	biphenyl hydrolase like	Translation	0.253	0.048	0 mutation(s)
sample1_user	CARS2	cysteinyl-tRNA synthetase 2, mitochondrial	Translation	-0.13	0.463	0 mutation(s)
sample1_user	DAP3	death associated protein 3	Translation	-0.085	0.335	0 mutation(s)
sample1_user	DARS2	aspartyl-tRNA synthetase 2, mitochondrial	Translation	-0.06	0.778	0 mutation(s)
sample1_user	DDX28	DEAD-box helicase 28	Translation	0.279	0.035	0 mutation(s)
sample1_user	EARS2	glutamyl-tRNA synthetase 2, mitochondrial	Translation	0.564	0.038	0 mutation(s)
sample1_user	EIF2AK3	eukaryotic translation initiation factor 2 alpha kinase 3	Translation	0.067	0.752	0 mutation(s)
sample1_user	ELAC2	elaC ribonuclease Z 2	Translation	0.082	0.573	0 mutation(s)
sample1_user	ERAL1	Era like 12S mitochondrial rRNA chaperone 1	Translation	-0.062	0.589	0 mutation(s)
sample1_user	FARS2	phenylalanyl-tRNA synthetase 2, mitochondrial	Translation	0.037	0.748	0 mutation(s)
sample1_user	FASTK	Fas activated serine/threonine kinase	Translation	0.029	0.771	0 mutation(s)
sample1_user	FASTKD1	FAST kinase domains 1	Translation	0.211	0.359	0 mutation(s)
sample1_user	FASTKD2	FAST kinase domains 2	Translation	0.05	0.639	0 mutation(s)
sample1_user	FASTKD3	FAST kinase domains 3	Translation	0.017	0.925	0 mutation(s)
sample1_user	FASTKD5	FAST kinase domains 5	Translation	-0.089	0.476	0 mutation(s)
sample1_user	GADD45GIP1	GADD45G interacting protein 1	Translation	-0.195	0.175	0 mutation(s)
sample1_user	GARS1	glycyl-tRNA synthetase	Translation	0.032	0.786	0 mutation(s)
sample1_user	GATB	glutamyl-tRNA amidotransferase subunit B	Translation	-0.025	0.829	0 mutation(s)
sample1_user	GATC	glutamyl-tRNA amidotransferase subunit C	Translation	0.2	0.096	0 mutation(s)
