"GENENAME","ENSEMBL","ENSEMBL.1","PC1","PC2","PC3","PC4","PC5"
"MTPAP","ENSECAG00000000001","ENSECAG00000000001",-0.00214311593351919,-0.0016495848222167,0.00480206275465994,0.00323809829932266,0.000673158579982405
"R3HDM4","ENSECAG00000000003","ENSECAG00000000003",0.003875720080711,-0.0035511221322333,-9.62338700728511e-05,0.00490156762624682,-0.000445689193821017
"RNF170","ENSECAG00000000004","ENSECAG00000000004",-0.00191237548776587,0.000613297761607392,-0.00101951933391473,0.00218986780429485,-0.00129773845218244
"TMEM70","ENSECAG00000000007","ENSECAG00000000007",0.00313301173826928,-0.00653823515385917,0.00519579706042796,-0.00570737222613119,0.0023745916555131
"RPLP2","ENSECAG00000000008","ENSECAG00000000008",0.00165942319802012,-0.0115760044882738,0.0101439015526342,-0.00429485400610204,-0.00287480544204804
"LRRC58","ENSECAG00000000010","ENSECAG00000000010",-0.00826131854843645,0.0142662210319558,-0.0188933096937043,-0.000285743423206103,-0.00142750486764266
"ADGRA2","ENSECAG00000000011","ENSECAG00000000011",0.00263104365911695,4.17263940083833e-05,-0.0143607379889164,0.00811442486390161,-0.00266113322183399
"PRKX","ENSECAG00000000012","ENSECAG00000000012",-0.0141030984533403,-0.000325875220126575,-0.00510491512654233,-0.00799943647626267,-0.00849441574412939
"GAS6","ENSECAG00000000014","ENSECAG00000000014",0.00712700552455373,0.00411829269055551,0.0101507864756223,0.0004418335410971,-0.00396914296522437
"KIAA1217","ENSECAG00000000015","ENSECAG00000000015",-0.00165715020369479,0.00895780348083152,-0.0110300236902535,-0.00179366944753321,0.00518163123989731
"FAM149B1","ENSECAG00000000016","ENSECAG00000000016",0.00122848442233123,-0.000941165593991069,0.00481079734795346,-0.00414167966182866,0.000547766333412332
"CHCHD6","ENSECAG00000000017","ENSECAG00000000017",-0.00206009051241196,-0.00678051926144013,0.0147016629021249,0.00658278937988401,0.00589695124442786
"KANSL1L","ENSECAG00000000018","ENSECAG00000000018",-0.00281870885516736,0.00258424529781231,-0.00267399320201166,0.00153394060567477,0.00710628518429952
"MRPL52","ENSECAG00000000019","ENSECAG00000000019",-0.00112187429977861,-0.0087820685378593,0.00600080374834504,0.00448946908246939,0.00139733112418674
"THAP1","ENSECAG00000000020","ENSECAG00000000020",-0.00454272567718364,-0.00603461212804869,-0.00281569455923766,-0.00327573091054671,-0.00507516517162905
"PLXNA1","ENSECAG00000000022","ENSECAG00000000022",-0.00590340819430161,0.00982274977391645,-0.00499587821048004,-0.00386069512065315,-0.0101715030852559
"FGD1","ENSECAG00000000025","ENSECAG00000000025",-0.0043768150311431,0.00111337990281512,-0.00309468583419926,0.00263186481348937,0.00300234332070189
"XG","ENSECAG00000000026","ENSECAG00000000026",0.00278930616536647,0.0039228569290735,0.000504268707509727,0.0112138725961284,0.0098670383470446
"MARCHF5","ENSECAG00000000029","ENSECAG00000000029",-0.00417172737702617,0.00119790454232062,-0.00122625051839131,-0.00276721968453042,0.00151985645565279
"FRA10AC1","ENSECAG00000000030","ENSECAG00000000030",-0.0109316998915691,-0.0113993265124367,0.00424769157711078,-0.00651029875916022,0.00479518488390662
"CAMK2G","ENSECAG00000000031","ENSECAG00000000031",-0.0120437220493115,0.00939240293601757,-0.0103052090849697,0.00232987509622904,0.00742861124216313
"GNL3L","ENSECAG00000000035","ENSECAG00000000035",-0.00256460861056722,0.00565410149284432,-0.00329795013149335,-0.00414742879855711,-0.00192549081930982
"MAGED2","ENSECAG00000000036","ENSECAG00000000036",0.00466594431174389,-0.00805330001957669,0.000803581271330669,0.00425158788884194,-0.00535430663154885
"HINT2","ENSECAG00000000037","ENSECAG00000000037",0.00595329633157658,-0.007433934188491,0.00905690275345955,0.00222374384696356,0.0107053598136911
"PFKFB1","ENSECAG00000000039","ENSECAG00000000039",0.0223962123289085,0.000567446398463771,-0.00649066068625468,-0.00801038537431075,0.0250362373439876
"FAM217A","ENSECAG00000000041","ENSECAG00000000041",-0.0104639961909324,0.00848900935267494,0.0252003091310793,0.0113678069917594,0.0179176801482534
"ZBED6","ENSECAG00000000042","ENSECAG00000000042",-0.00247405594553368,0.00401255355805771,-0.00729786720995522,0.00219016287681123,0.00152881303904465
"FAM13C","ENSECAG00000000046","ENSECAG00000000046",-0.00450222212940849,0.00286332063228281,-0.00238759360012614,0.00620833459374746,0.0089887613242943
"UBA2","ENSECAG00000000048","ENSECAG00000000048",0.00017223500466851,0.00419178723765047,-0.00523075487156279,0.00347766517901579,-8.084035764003e-06
"WASF3","ENSECAG00000000050","ENSECAG00000000050",0.00696375167175375,0.0022426079776341,-0.0111436725233791,-0.00476721252472141,-0.00375470380313812
"AIMP2","ENSECAG00000000053","ENSECAG00000000053",0.00611356131863478,-0.00614750196837089,0.0056597611472059,-0.00411731245105459,0.0043245259209009
"TRMT5","ENSECAG00000000057","ENSECAG00000000057",0.000753826085835932,-0.000708341294850715,0.00305843358925531,-0.00716582914552513,0.000677497332063997
"CIAPIN1","ENSECAG00000000060","ENSECAG00000000060",-0.00576762200524096,-0.009039821388342,0.00366828194649116,0.000667627487091236,-0.00044667589561874
"ELOC","ENSECAG00000000064","ENSECAG00000000064",0.00110738082444593,-0.00426344282858613,0.00549697738799897,-0.0028422474336725,-0.00325606787063424
"ADGRA1","ENSECAG00000000065","ENSECAG00000000065",-0.0261011255443018,-0.0253908643403074,-0.00308207782180858,-0.00622072678499731,-0.0205995361412039
"NAP1L1","ENSECAG00000000066","ENSECAG00000000066",0.00315681187814958,-0.00409606215350914,-0.00077696001923765,0.00255685929733633,0.000530212751156561
"MAP7D2","ENSECAG00000000072","ENSECAG00000000072",-0.0110874956499914,-0.00473651917446826,0.00442462348913171,-0.0139911291884697,0.000519977390656402
"METRNL","ENSECAG00000000074","ENSECAG00000000074",0.000413218338085355,-0.00774195853000813,0.00336602040137595,0.00337061793326265,-0.0127818755580945
"CPEB3","ENSECAG00000000077","ENSECAG00000000077",-0.000311898256235522,0.00582318328213177,-0.00395677375180029,-0.00240808404044112,0.00600658217344248
"EXOC2","ENSECAG00000000078","ENSECAG00000000078",0.00201844778234446,0.00352004206981558,0.00043156697258144,-0.0033494113265489,-0.00474915571423734
